1.000	4
2.000	0
3.000	20
4.000	6
5.000	0
6.000	0
7.000	1
8.000	0
9.000	0
10.000	0
11.000	1
12.000	0
13.000	0
14.000	0
15.000	23
16.000	11
17.000	8
18.000	8
19.000	6
20.000	4
21.000	4
22.000	2
23.000	3
24.000	1
25.000	5
26.000	4
27.000	4
28.000	1
29.000	7
30.000	0
31.000	8
32.000	12
33.000	6
34.000	4
35.000	0
36.000	0
37.000	0
38.000	2
39.000	6
40.000	0
41.000	0
42.000	1
43.000	80
44.000	5
45.000	5
46.000	23
47.000	90
48.000	128
49.000	172
50.000	48
51.000	19
52.000	10
53.000	19
54.000	4
55.000	0
56.000	10
57.000	5
58.000	11
59.000	2
60.000	8
61.000	6
62.000	2
63.000	15
64.000	17
65.000	0
66.000	0
67.000	7
68.000	2
69.000	0
70.000	3
71.000	1
72.000	1
73.000	8
74.000	10
75.000	5
76.000	12
77.000	18
78.000	13
79.000	268
80.000	369
81.000	1
82.000	0
83.000	0
84.000	0
85.000	0
86.000	55
87.000	44
88.000	127
89.000	40
90.000	22
91.000	7
92.000	15
93.000	50
94.000	27
95.000	8
96.000	34
97.000	19
98.000	8
99.000	22
100.000	32
